id	rateR	rateW
Albania	83800	51654.3
Anguilla	17500	17500
Argentina	5900	4800
Armenia	275000	NaN
Austria	97300	48667.9
Bahamas	20000	7000
Bahrain	159100	NaN
Barbados	20800	17326.7
Belarus	110000	75
Belgium	75300	46593.6
Belize	7500	7447.2
Benin	30300	NaN
Bolivia	5800	2500
Brazil	12000	NaN
Bulgaria	86100	57384.7
C̫te d'Ivoire	40400	NaN
Cameroon	31300	NaN
Canada	81200	35507.8
Chile	20800	9373
Colombia	3500	2438.8
Croatia	99400	46365
Cyprus	111700	55842.5
Czech Republic	113600	NaN
Denmark	89000	44501.4
Dominica	57500	38000
Dominican Republic	8200	NaN
Ecuador	7000	4000
El Salvador	24000	25000
Federation of Bosnia and Herzegovina	67800	44118
France	87300	38391.7
Gabon	92200	NaN
Germany	91700	64044.4
Gibraltar	92400	NaN
Greece	97700	56540.6
Grenada	36900	9223.4
Guatemala	13300	12262.4
Guinea	20000	20000
Guyana	5000	5000
Haiti	10000	6500
Hong Kong S.A.R.	138300	50975
Hungary	75000	39089.8
Iceland	131000	NaN
Iran	126300	NaN
Ireland	97700	NaN
Israel	113000	100000
Italy	94700	54694.3
Japan	251600	NaN
Jordan	126300	84166.8
Kenya	31300	NaN
Latvia	125600	55842.5
Lebanon	80000	45000
Liechtenstein	1133700	NaN
Lithuania	84500	NaN
Luxembourg	119200	NaN
Macao S.A.R.	310000	NaN
Macedonia	72900	49014.4
Mali	62700	NaN
Malta	89300	NaN
Montenegro	111700	55842.5
Namibia	70800	68119.9
Netherlands	58700	41596
Nicaragua	13500	6500
Nigeria	32500	19610
Pakistan	140500	NaN
Panama	2000	2500
Paraguay	20000	6000
Peru	4500	NaN
Philippines	138400	NaN
Poland	66900	NaN
Portugal	61000	NaN
Russia	169900	12579.6
Saint Lucia	9300	21115.4
Saint Vincent and the Grenadines	1800	7000
Saudi Arabia	213700	NaN
Slovenia	97700	55842.5
South Africa	32700	NaN
Spain	82300	47876.6
Sri Lanka	145500	NaN
Swaziland	35400	NaN
Sweden	124600	54494.2
Switzerland	102000	58950.2
The Gambia	23000	21920.7
Togo	2500	28000
Trinidad and Tobago	63900	6390
Turks and Caicos Islands	20000	9000
Ukraine	189600	160000
United Kingdom	64300	36532.2
Uruguay	12900	NaN
Venezuela	9300	5500
Zambia	37800	4190